BA,CNT,month,state,year
211.46965032826162,41.98369264990757,3,Alabama,1993
0.0,0.0,3,Alaska,1993
27.459574433050246,18.290576288638846,3,Arizona,1993
80.97609794626628,31.220050532919,3,Arkansas,1993
28.499859622265387,15.567249337802227,3,California,1993
8.471778616539153,24.480621362680406,3,Colorado,1993
0.0,0.0,3,Connecticut,1993
0.0,0.0,3,District of Columbia,1993
0.0,0.0,3,Delaware,1993
342.79968192018424,267.15674761613997,3,Florida,1993
319.91553289152455,612.6957312715225,3,Georgia,1993
0.0,0.0,3,Hawaii,1993
0.013860462314343654,0.9240308071871115,3,Idaho,1993
0.0,0.0,3,Illinois,1993
4.0815893815066895,3.180459258316901,3,Indiana,1993
0.04116751223648388,1.372250353354466,3,Iowa,1993
0.009385265273591377,0.4692632566870014,3,Kansas,1993
0.0,0.0,3,Kentucky,1993
89.2310865405582,28.748553358052177,3,Louisiana,1993
0.0,0.0,3,Maine,1993
0.0,0.0,3,Maryland,1993
0.0,0.0,3,Massachusetts,1993
0.03992223149305153,0.39922231493051535,3,Michigan,1993
0.6439779195428343,3.997104319981524,3,Minnesota,1993
1346.4022060596158,635.3736507278495,3,Mississippi,1993
185.32181272108429,125.1800155090285,3,Missouri,1993
4.270398187523185,7.089758974453235,3,Montana,1993
0.02495881795038187,0.4991763590076374,3,Nebraska,1993
0.17808506185802483,0.6983727913960472,3,Nevada,1993
0.0,0.0,3,New Hampshire,1993
0.5975831089770776,13.279624629277146,3,New Jersey,1993
302.9331529289561,40.96317442373706,3,New Mexico,1993
1.1323665484773484,2.830916438424029,3,New York,1993
413.9148213692013,411.7912921207251,3,North Carolina,1993
2.9217729427441728,5.461257836904996,3,North Dakota,1993
0.0,0.0,3,Ohio,1993
1546.6175152990136,387.21366350525034,3,Oklahoma,1993
1.5902731172238886,3.1397297477619617,3,Oregon,1993
0.0,0.0,3,Pennsylvania,1993
0.0,0.0,3,Rhode Island,1993
1258.781189963538,912.7850192323924,3,South Carolina,1993
25.594680620654113,15.521030997000937,3,South Dakota,1993
6.605407089268285,4.580726136707191,3,Tennessee,1993
72.01198248065212,31.768301272744512,3,Texas,1993
0.004547893938117541,0.45478938703486416,3,Utah,1993
0.0,0.0,3,Vermont,1993
0.6228167570166594,4.51316490201919,3,Virginia,1993
1.2888482168202495,10.28912439551394,3,Washington,1993
0.9401491500351303,11.15431193830072,3,West Virginia,1993
4.687122260109584,22.990538509152007,3,Wisconsin,1993
3.0197169755462134,1.9736712258471987,3,Wyoming,1993
12.64445710164805,25.77946039906605,4,Alabama,1993
0.0,0.0,4,Alaska,1993
322.0851927406366,80.27530704458164,4,Arizona,1993
24.72192378193153,15.973049109865535,4,Arkansas,1993
17.397580413580464,41.74853231501507,4,California,1993
40.61928542020783,32.26990997807872,4,Colorado,1993
52.20450007866508,146.27011214041931,4,Connecticut,1993
0.0,0.0,4,District of Columbia,1993
0.0,0.0,4,Delaware,1993
484.6164646428841,252.47780543942895,4,Florida,1993
204.55006160169742,598.4016633097267,4,Georgia,1993
0.0,0.0,4,Hawaii,1993
0.720744030019021,2.772092421561335,4,Idaho,1993
0.0,0.0,4,Illinois,1993
41.17634521727672,15.902296291584506,4,Indiana,1993
0.013722503738025896,1.372250353354466,4,Iowa,1993
8.869075551384327,3.7541060534960113,4,Kansas,1993
32.00963206524865,29.620853080568722,4,Kentucky,1993
30.989466910066668,18.42855984490524,4,Louisiana,1993
19.591195501540223,113.496229524298,4,Maine,1993
0.6224518377890511,12.449036755781021,4,Maryland,1993
0.30472636972912437,7.316359379572725,4,Massachusetts,1993
22.871047088834107,36.329230658676885,4,Michigan,1993
567.2472819054517,416.1429719802988,4,Minnesota,1993
263.15789412862176,260.68655431368495,4,Mississippi,1993
201.77246119950425,134.04231749196853,4,Missouri,1993
29.019171014479745,25.99578290632853,4,Montana,1993
5.43603070200409,2.9950581540458243,4,Nebraska,1993
0.038410504099143705,1.7459319784901182,4,Nevada,1993
15.289914975269117,119.76542496076651,4,New Hampshire,1993
25.23128679562658,367.40294807666766,4,New Jersey,1993
362.98707256535596,47.31405417935521,4,New Mexico,1993
18.294797484369887,38.217371918724375,4,New York,1993
229.08939490994533,469.18380670201105,4,North Carolina,1993
103.22869554992742,81.91886755357493,4,North Dakota,1993
1.6451618307530003,13.781460490275457,4,Ohio,1993
549.3462650424194,204.37811055198662,4,Oklahoma,1993
0.007849324486368952,0.7849324369404904,4,Oregon,1993
5.7972836945927995,24.31254191817572,4,Pennsylvania,1993
0.0,0.0,4,Rhode Island,1993
447.10549888156845,713.8292356480531,4,South Carolina,1993
58.389118564871424,30.040705155485686,4,South Dakota,1993
