,BA,CNT,month,state,year
0,211.46965032826162,41.98369264990757,3,Alabama,1993
1,0.0,0.0,3,Alaska,1993
2,27.459574433050246,18.290576288638846,3,Arizona,1993
3,80.97609794626628,31.220050532919,3,Arkansas,1993
4,28.499859622265387,15.567249337802227,3,California,1993
5,8.471778616539153,24.480621362680406,3,Colorado,1993
6,0.0,0.0,3,Connecticut,1993
7,0.0,0.0,3,District of Columbia,1993
8,0.0,0.0,3,Delaware,1993
9,342.79968192018424,267.15674761613997,3,Florida,1993
10,319.91553289152455,612.6957312715225,3,Georgia,1993
11,0.0,0.0,3,Hawaii,1993
12,0.013860462314343654,0.9240308071871115,3,Idaho,1993
13,0.0,0.0,3,Illinois,1993
14,4.0815893815066895,3.180459258316901,3,Indiana,1993
15,0.04116751223648388,1.372250353354466,3,Iowa,1993
16,0.009385265273591377,0.4692632566870014,3,Kansas,1993
17,0.0,0.0,3,Kentucky,1993
18,89.2310865405582,28.748553358052177,3,Louisiana,1993
19,0.0,0.0,3,Maine,1993
20,0.0,0.0,3,Maryland,1993
21,0.0,0.0,3,Massachusetts,1993
22,0.03992223149305153,0.39922231493051535,3,Michigan,1993
23,0.6439779195428343,3.997104319981524,3,Minnesota,1993
24,1346.4022060596158,635.3736507278495,3,Mississippi,1993
25,185.32181272108429,125.1800155090285,3,Missouri,1993
26,4.270398187523185,7.089758974453235,3,Montana,1993
27,0.02495881795038187,0.4991763590076374,3,Nebraska,1993
28,0.17808506185802483,0.6983727913960472,3,Nevada,1993
29,0.0,0.0,3,New Hampshire,1993
30,0.5975831089770776,13.279624629277146,3,New Jersey,1993
31,302.9331529289561,40.96317442373706,3,New Mexico,1993
32,1.1323665484773484,2.830916438424029,3,New York,1993
33,413.9148213692013,411.7912921207251,3,North Carolina,1993
34,2.9217729427441728,5.461257836904996,3,North Dakota,1993
35,0.0,0.0,3,Ohio,1993
36,1546.6175152990136,387.21366350525034,3,Oklahoma,1993
37,1.5902731172238886,3.1397297477619617,3,Oregon,1993
38,0.0,0.0,3,Pennsylvania,1993
39,0.0,0.0,3,Rhode Island,1993
40,1258.781189963538,912.7850192323924,3,South Carolina,1993
41,25.594680620654113,15.521030997000937,3,South Dakota,1993
42,6.605407089268285,4.580726136707191,3,Tennessee,1993
43,72.01198248065212,31.768301272744512,3,Texas,1993
44,0.004547893938117541,0.45478938703486416,3,Utah,1993
45,0.0,0.0,3,Vermont,1993
46,0.6228167570166594,4.51316490201919,3,Virginia,1993
47,1.2888482168202495,10.28912439551394,3,Washington,1993
48,0.9401491500351303,11.15431193830072,3,West Virginia,1993
49,4.687122260109584,22.990538509152007,3,Wisconsin,1993
50,3.0197169755462134,1.9736712258471987,3,Wyoming,1993
